Method,n_vars,DAG_type,SEM_type,Noise,Runtime_sec,SHD,ATE_RMSE,FLAR_ATE
FLAR,20,ER,linear,gaussian,2.2745394706726074,27,0.30631549135350494,0.018270072643094742
CAM,20,ER,linear,gaussian,16.71901035308838,90,129.7739706809301,
FLAR,20,ER,linear,exponential,1.3987457752227783,27,0.30342647039050935,-0.10085571351771458
CAM,20,ER,linear,exponential,15.157404661178589,94,691.4058286807149,
FLAR,20,ER,linear,laplace,1.3137290477752686,29,0.31437108684346143,0.07966804337419749
CAM,20,ER,linear,laplace,12.316967964172363,96,229.5364455483695,
FLAR,20,ER,non-linear,gaussian,1.4170165061950684,26,0.2992785039618493,0.007391620693203068
CAM,20,ER,non-linear,gaussian,18.27854037284851,102,1608.8481883049712,
FLAR,20,ER,non-linear,exponential,1.4444961547851562,27,0.322786870651069,-0.03742987766923948
CAM,20,ER,non-linear,exponential,14.570236682891846,106,246.10497704651775,
FLAR,20,ER,non-linear,laplace,1.3427526950836182,28,0.30751849201900466,-0.14086552074465158
CAM,20,ER,non-linear,laplace,14.400314569473267,96,380.895247116664,
FLAR,20,SF,linear,gaussian,1.3073451519012451,19,0.25651949529087004,0.04628987903777509
CAM,20,SF,linear,gaussian,14.034700155258179,80,310.077759122076,
FLAR,20,SF,linear,exponential,1.2821507453918457,18,0.3148685829044783,0.024478871052560577
CAM,20,SF,linear,exponential,12.401211261749268,93,71.51006057482142,
FLAR,20,SF,linear,laplace,1.3361258506774902,21,0.29229578029117637,0.040096990301294475
CAM,20,SF,linear,laplace,15.157608985900879,87,91.42677527711962,
FLAR,20,SF,non-linear,gaussian,1.306305170059204,22,0.26532834488579,-0.010224547946762594
CAM,20,SF,non-linear,gaussian,17.759083032608032,86,608.24895984393,
FLAR,20,SF,non-linear,exponential,1.4338948726654053,22,0.2746434402672397,-0.288881651138829
CAM,20,SF,non-linear,exponential,15.381959676742554,112,431.3839981447835,
FLAR,20,SF,non-linear,laplace,1.4568908214569092,22,0.26098262550936707,0.08134401360058016
CAM,20,SF,non-linear,laplace,15.545589447021484,100,210.8622979334865,
FLAR,50,ER,linear,gaussian,3.348245143890381,50,0.2200610629883715,-0.02997896481696927
CAM,50,ER,linear,gaussian,38.44144916534424,229,30153.604163481876,
FLAR,50,ER,linear,exponential,3.387054204940796,47,0.21869055729020376,-0.015992757426508873
CAM,50,ER,linear,exponential,36.77074217796326,262,58273.49847505268,
FLAR,50,ER,linear,laplace,3.5591442584991455,49,0.21758917458358273,-0.02212048062490302
CAM,50,ER,linear,laplace,36.733238697052,235,62659.65399247149,
FLAR,50,ER,non-linear,gaussian,3.40413498878479,51,0.2209680326281881,0.0428912369969546
CAM,50,ER,non-linear,gaussian,45.5738639831543,229,99540.91176759801,
FLAR,50,ER,non-linear,exponential,3.404142141342163,49,0.21915033982079973,0.10971361922279879
CAM,50,ER,non-linear,exponential,40.55256938934326,286,17752.227856917365,
FLAR,50,ER,non-linear,laplace,3.491027593612671,50,0.2200610629883715,-0.055274528185375
CAM,50,ER,non-linear,laplace,38.342560052871704,265,111859.1575497247,
FLAR,50,SF,linear,gaussian,3.3039777278900146,69,0.16147192044516356,-0.030308655261179644
CAM,50,SF,linear,gaussian,37.78313159942627,219,57222.8704996698,
FLAR,50,SF,linear,exponential,3.2857208251953125,63,0.15979902981985833,0.025298807678767243
CAM,50,SF,linear,exponential,41.37832307815552,267,102334.35926070232,
FLAR,50,SF,linear,laplace,3.447416067123413,67,0.15897541033835777,-0.011305420403093373
CAM,50,SF,linear,laplace,44.40842366218567,272,853714.8899684289,
FLAR,50,SF,non-linear,gaussian,3.248849868774414,66,0.1577123365252358,-0.02990898378356878
CAM,50,SF,non-linear,gaussian,41.24782657623291,261,50389.34716807132,
FLAR,50,SF,non-linear,exponential,3.28473162651062,65,0.16017652912497965,-0.003598103845814393
CAM,50,SF,non-linear,exponential,43.21688413619995,298,67722.00968820136,
FLAR,50,SF,non-linear,laplace,3.4093501567840576,64,0.15515534503280648,0.0124888713419467
CAM,50,SF,non-linear,laplace,42.66311550140381,287,46575.654399787854,
FLAR,100,ER,linear,gaussian,7.320465087890625,93,0.10942968199061613,-0.03179440907062346
CAM,100,ER,linear,gaussian,110.11757969856262,503,124438445.60927212,
FLAR,100,ER,linear,exponential,7.378918409347534,90,0.10805024433367735,0.0784845347878567
CAM,100,ER,linear,exponential,103.60786604881287,542,6720658.801782847,
FLAR,100,ER,linear,laplace,7.487659692764282,95,0.1107919460094793,0.0021687687418863984
CAM,100,ER,linear,laplace,99.98337459564209,527,16733353.805911772,
FLAR,100,ER,non-linear,gaussian,7.585969924926758,91,0.10851200532921404,0.01777644988170971
CAM,100,ER,non-linear,gaussian,104.40018153190613,472,25278401.300428573,
FLAR,100,ER,non-linear,exponential,7.445313930511475,90,0.10805024433367735,0.06385357770587947
CAM,100,ER,non-linear,exponential,101.74028253555298,554,4169552.8439298496,
FLAR,100,ER,non-linear,laplace,7.4071736335754395,91,0.10851200532921404,-0.0830769640384223
CAM,100,ER,non-linear,laplace,96.14871144294739,501,15587326.841549005,
FLAR,100,SF,linear,gaussian,7.413757562637329,147,0.18282126391457135,0.008004688434720714
CAM,100,SF,linear,gaussian,101.57737755775452,517,28310005.56088709,
FLAR,100,SF,linear,exponential,7.315023422241211,146,0.1829252016538843,-0.004016327455141096
CAM,100,SF,linear,exponential,103.00188851356506,597,3957035.7179791746,
FLAR,100,SF,linear,laplace,7.322466135025024,145,0.18258585032744026,-0.00405894067724114
CAM,100,SF,linear,laplace,113.9558527469635,571,51891408.907775156,
FLAR,100,SF,non-linear,gaussian,7.375386714935303,145,0.18149238406822552,-0.05067613749686566
CAM,100,SF,non-linear,gaussian,116.92661619186401,586,11188433.519150356,
FLAR,100,SF,non-linear,exponential,7.380197763442993,142,0.18066401267205454,0.052035107434267355
CAM,100,SF,non-linear,exponential,108.84386706352234,635,4604057.838383484,
FLAR,100,SF,non-linear,laplace,7.319895267486572,146,0.18176766894794102,0.0513131675009687
CAM,100,SF,non-linear,laplace,111.49404811859131,624,4958904.042821287,
